player,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct
Draymond Green,Off-Dribble Shooter,16.32404181184669,0.44528978075517556,0.4091459449654317,0.42160278745644597
Dru Smith,Balanced Scorer,12.627118644067796,0.4523497063898463,0.44699659100978123,0.4067796610169492
Duncan Robinson,Off-Dribble Shooter,20.630379746835445,0.39457278989959366,0.5195864805232687,0.43291139240506327
Dylan Harper,Balanced Scorer,9.99702380952381,0.5049697348698036,0.42033522342716834,0.43452380952380953
Dyson Daniels,Balanced Scorer,6.851774530271399,0.5328606687989932,0.3281429749327407,0.5031315240083507
Egor Dëmin,Off-Dribble Shooter,20.175792507204612,0.4000568311310911,0.5184577996149708,0.4034582132564842
Evan Mobley,Balanced Scorer,10.283450704225352,0.5454755819765986,0.3666371150257417,0.5123239436619719
Franz Wagner,Balanced Scorer,10.474452554744525,0.4838420845106945,0.40411259364803637,0.48175182481751827
Gary Trent Jr.,Off-Dribble Shooter,20.743506493506494,0.3865263997575401,0.5424766194545554,0.37987012987012986
Giannis Antetokounmpo,Rim Pressure Slasher,5.675564681724846,0.6124051800819292,0.31905505654649446,0.6447638603696099
Gradey Dick,Off-Dribble Shooter,15.947368421052632,0.4516512747111936,0.4794354640969026,0.42857142857142855
Grayson Allen,Off-Dribble Shooter,19.19796954314721,0.4047965181953407,0.5084554298873505,0.41878172588832485
Harrison Barnes,Off-Dribble Shooter,16.44818652849741,0.43754592979890666,0.4702597468350852,0.4326424870466321
Herbert Jones,Off-Dribble Shooter,14.583333333333334,0.4666580730740478,0.43248935687287604,0.3815789473684211
Immanuel Quickley,Balanced Scorer,17.24337748344371,0.4136547793303141,0.46973897312806484,0.44039735099337746
Isaac Okoro,Off-Dribble Shooter,11.956692913385826,0.5021291391074445,0.3879419216726847,0.4763779527559055
Isaiah Collier,Balanced Scorer,9.123552123552123,0.4749658949506138,0.4116486809058482,0.5096525096525096
Isaiah Joe,Off-Dribble Shooter,21.711610486891384,0.3873664265806226,0.5483180887059911,0.43820224719101125
Isaiah Stewart,Balanced Scorer,9.869565217391305,0.5294766968128315,0.3663882835346426,0.5284280936454849
Ivica Zubac,Rim Pressure Slasher,3.6690997566909975,0.5955838594459988,0.28206771963180804,0.6058394160583942
Ja Morant,Balanced Scorer,12.003105590062113,0.4671622440128993,0.4333104666669942,0.40993788819875776
Jabari Smith Jr.,Off-Dribble Shooter,16.28205128205128,0.4472035637029181,0.47113491716496464,0.43040293040293043
Jaden Ivey,Balanced Scorer,16.45273631840796,0.4321714139924366,0.5001279666598912,0.4626865671641791
Jaden McDaniels,Balanced Scorer,11.481781376518219,0.49279518682999535,0.41600179404316845,0.5080971659919028
Jaime Jaquez Jr.,Balanced Scorer,7.74251497005988,0.5040711396224723,0.4007141416922466,0.5189620758483033
Jake LaRavia,Balanced Scorer,13.796969696969697,0.4750228830327718,0.43410526598376775,0.4636363636363636
Jalen Brunson,Balanced Scorer,14.705263157894738,0.4339791486021061,0.49740643105581633,0.4783625730994152
Jalen Duren,Rim Pressure Slasher,3.45,0.6276081096782868,0.2919803594214835,0.6309523809523809
Jalen Johnson,Balanced Scorer,11.255376344086022,0.4942346550848252,0.40534667870952923,0.5053763440860215
Jalen Smith,Off-Dribble Shooter,14.768707482993197,0.4790767778175892,0.4171592957462604,0.47619047619047616
Jalen Suggs,Balanced Scorer,16.420289855072465,0.4409116965223393,0.4759499386215953,0.45652173913043476
Jalen Williams,Balanced Scorer,9.827380952380953,0.50435730824856,0.41136331342731725,0.47023809523809523
Jamal Murray,Balanced Scorer,15.523329129886507,0.43008432501790206,0.4977474084356105,0.4880201765447667
Jamal Shead,Off-Dribble Shooter,16.31761006289308,0.4231587991532428,0.48661992451502334,0.36792452830188677
James Harden,Balanced Scorer,16.221485411140584,0.4247555653733937,0.5141133545480169,0.4177718832891247
Jarace Walker,Balanced Scorer,16.083333333333332,0.4327927773926477,0.47692905729764085,0.3838383838383838
Jared McCain,Off-Dribble Shooter,15.814814814814815,0.4345370662827669,0.48184569220121276,0.375
Jaren Jackson Jr.,Balanced Scorer,12.237785016286646,0.45288176274153313,0.4297602150758122,0.4788273615635179
Jarrett Allen,Rim Pressure Slasher,4.501607717041801,0.6032328002884761,0.29858506149693154,0.5916398713826366
Javonte Green,Off-Dribble Shooter,15.242914979757085,0.4708455391205564,0.43805476787157127,0.44534412955465585
Jay Huff,Off-Dribble Shooter,17.4281045751634,0.47656258069811813,0.41609691404033194,0.47058823529411764
Jaylen Brown,Balanced Scorer,13.565217391304348,0.4482059445326806,0.4705684414541519,0.4834368530020704
Jaylen Wells,Off-Dribble Shooter,16.523595505617976,0.44001763799662535,0.48737432394005925,0.40224719101123596
Jaylon Tyson,Balanced Scorer,12.537931034482758,0.48568787671414615,0.4117405796379941,0.5126436781609195
Jerami Grant,Off-Dribble Shooter,14.043165467625899,0.46284306983005136,0.46462136055765135,0.4292565947242206
Jeremiah Fears,Balanced Scorer,10.794520547945206,0.4887323412091755,0.41423980742907873,0.4332191780821918
Jimmy Butler III,Balanced Scorer,8.796536796536797,0.5158442551195338,0.3964448703768804,0.5194805194805194
Jock Landale,Balanced Scorer,10.957627118644067,0.49967880488348326,0.3672831504716856,0.5254237288135594
Joel Embiid,Balanced Scorer,12.497816593886462,0.4772324802592327,0.4122023012814113,0.4847161572052402
John Collins,Balanced Scorer,11.273182957393484,0.5185506662178486,0.40472622531956554,0.5538847117794486
Jonas Valančiūnas,Rim Pressure Slasher,7.138248847926267,0.5302803638494155,0.3128547417345544,0.5852534562211982
Jordan Clarkson,Off-Dribble Shooter,14.844686648501362,0.4409832799203419,0.4741232453797322,0.4250681198910082
Jordan Goodwin,Off-Dribble Shooter,15.246537396121884,0.4459863043774605,0.4676548601521175,0.3988919667590028
Jordan Poole,Off-Dribble Shooter,18.115384615384617,0.41840922220520116,0.5100793548025211,0.3698224852071006
Jose Alvarado,Off-Dribble Shooter,18.116,0.412560281152016,0.5213824562713031,0.424
Josh Giddey,Balanced Scorer,11.681818181818182,0.477787863723247,0.414663922941404,0.46320346320346323
Josh Hart,Balanced Scorer,13.452229299363058,0.46787637198160986,0.4512055983816597,0.49363057324840764
Jrue Holiday,Balanced Scorer,15.96484375,0.43330805770935865,0.47765099397751004,0.43359375
