player,avg_xFG,actual_fg_pct,makes,attempts,avg_residual,residual_fg_pct
Santi Aldama,0.4592874039517236,0.4789915966386555,228,476,0.019704192686931854,0.019704192686931854
Ivica Zubac,0.5934046385672889,0.6130536130536131,263,429,0.019648974486324116,0.01964897448632419
Davion Mitchell,0.4530241394550053,0.47112462006079026,155,329,0.018100480605785008,0.018100480605784952
Dillon Brooks,0.4225315217791288,0.4396984924623116,350,796,0.01716697068318277,0.017166970683182792
Grayson Allen,0.4022791293804781,0.4182590233545648,197,471,0.015979893974086605,0.015979893974086667
Ryan Rollins,0.44955902650500296,0.46551724137931033,324,696,0.01595821487430737,0.015958214874307375
Ryan Nembhard,0.4128418976052814,0.42857142857142855,105,245,0.015729530966147147,0.015729530966147154
Buddy Hield,0.41764231178484945,0.43333333333333335,130,300,0.015691021548483886,0.015691021548483897
Neemias Queta,0.6209719846476408,0.6366459627329193,205,322,0.015673978085278463,0.015673978085278484
Marvin Bagley III,0.6104598361342215,0.6260162601626016,154,246,0.01555642402838022,0.01555642402838009
Mark Williams,0.6467821481005035,0.66189111747851,231,349,0.015108969378006489,0.015108969378006543
Jaden Ivey,0.4334600697809117,0.4482758620689655,104,232,0.01481579228805382,0.014815792288053797
Andrew Nembhard,0.4303548956684797,0.4446428571428571,249,560,0.014287961474377425,0.014287961474377442
Jalen Johnson,0.4877735074974819,0.501207729468599,415,828,0.013434221971117167,0.013434221971117155
Jusuf Nurkić,0.48965726014698296,0.501466275659824,171,341,0.011809015512841043,0.011809015512841081
Malik Monk,0.42401637924135654,0.43577981651376146,190,436,0.011763437272404906,0.01176343727240492
Kelly Oubre Jr.,0.4689209617897399,0.4805194805194805,148,308,0.011598518729740607,0.011598518729740603
Moses Moody,0.4208892068831859,0.432183908045977,188,435,0.011294701162791123,0.011294701162791132
Trey Murphy III,0.46425838242367745,0.47555012224938875,389,818,0.011291739825711331,0.0112917398257113
Reed Sheppard,0.4075267836680169,0.41818181818181815,230,550,0.010655034513801271,0.010655034513801231
Kevin Huerter,0.4456725362042337,0.4563106796116505,188,412,0.010638143407416829,0.010638143407416811
Kyshawn George,0.4362163831306122,0.44642857142857145,225,504,0.010212188297959252,0.01021218829795928
Jalen Suggs,0.44035490051599746,0.44970414201183434,152,338,0.009349241495836855,0.00934924149583688
Desmond Bane,0.45586723750517605,0.4649006622516556,351,755,0.009033424746479614,0.009033424746479557
Onyeka Okongwu,0.47361691078450263,0.48223350253807107,285,591,0.008616591753568437,0.008616591753568437
Pelle Larsson,0.48734928246486287,0.4954954954954955,165,333,0.008146213030632603,0.00814621303063262
Jose Alvarado,0.4099610951786384,0.41785714285714287,117,280,0.00789604767850445,0.007896047678504492
Cameron Johnson,0.453486067846842,0.46122448979591835,113,245,0.007738421949076403,0.007738421949076368
Egor Dëmin,0.40262439043161924,0.41025641025641024,160,390,0.0076320198247910205,0.007632019824791003
Jimmy Butler III,0.5119032340720473,0.5194805194805194,240,462,0.007577285408472156,0.007577285408472134
Donte DiVincenzo,0.4085566254298263,0.41578947368421054,237,570,0.007232848254384251,0.00723284825438425
