player,PLAYER_ID,role,cluster_id,cluster_confidence,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct,pullup_rate,usage_pct,attempts_per_game,total_attempts,games_played,pct_rim,pct_midrange,pct_3pt,pct_corner_3,distance_std,distance_iqr,distance_entropy,layup_rate,dunk_rate,hook_rate,floater_rate
Svi Mykhailiuk,1629004,Guard,Guard-2,1.0,Guard – Perimeter-Focused (Low Usage),17.48051948051948,0.43280644725282286,0.47628142354634184,0.474025974025974,0.7337662337662337,0.13478115905352392,7.0,308,44,0.30844155844155846,0.045454545454545456,0.6461038961038961,0.2727272727272727,9.833281768979946,19.25,1.4064758181542565,0.23376623376623376,0.025974025974025976,0.006493506493506494,0.022727272727272728
Josh Okogie,1629006,Wing,Wing-1,0.9998080219070378,Wing – Paint-Dominant,14.412037037037036,0.49268604966039725,0.43739561415090383,0.4444444444444444,0.6018518518518519,0.11310966074852047,4.5,216,48,0.4351851851851852,0.018518518518518517,0.5462962962962963,0.37037037037037035,10.714547533817559,21.0,1.4306773812489701,0.26851851851851855,0.12962962962962962,0.0,0.037037037037037035
Michael Porter Jr.,1629008,Wing,Wing-0,0.9999999689016454,Wing – Shot Creator (Mixed),16.602409638554217,0.4472737631506861,0.46192661359514114,0.4738955823293173,0.7416331994645248,0.2933754867490832,18.675,747,40,0.33467202141900937,0.1566265060240964,0.5087014725568942,0.07095046854082998,10.0602018740272,20.0,1.4540415589380777,0.19009370816599733,0.05756358768406961,0.006693440428380187,0.04685408299866131
Collin Sexton,1629012,Wing,Wing-1,0.9162531985907236,Wing – Paint-Dominant,12.845410628019323,0.45664222329167015,0.4402998349593408,0.48792270531400966,0.644927536231884,0.2493400234658323,9.857142857142858,414,42,0.5483091787439613,0.10144927536231885,0.3502415458937198,0.050724637681159424,10.18189370972838,22.0,1.514530578972022,0.34541062801932365,0.0,0.007246376811594203,0.14009661835748793
Anfernee Simons,1629014,Guard,Guard-1,1.0,Guard – Perimeter-Focused,19.16466552315609,0.39669077080131854,0.5271524583593383,0.4425385934819897,0.8387650085763293,0.22732598916611504,11.66,583,50,0.2555746140651801,0.15780445969125215,0.5866209262435678,0.05660377358490566,9.019851351418092,15.0,1.3947601374778251,0.1457975986277873,0.003430531732418525,0.010291595197255575,0.09433962264150944
Gary Trent Jr.,1629018,Guard,Guard-0,1.0,Guard – Perimeter-Focused (Low Usage),20.9792899408284,0.3873975955010803,0.5457012090923706,0.38461538461538464,0.9497041420118343,0.14854440041774175,7.511111111111111,338,45,0.16863905325443787,0.09171597633136094,0.7396449704142011,0.22781065088757396,7.353485826258897,5.75,1.2443369217386229,0.047337278106508875,0.0,0.0029585798816568047,0.09467455621301775
P.J. Washington,1629023,Wing,Wing-1,0.9999999996587192,Wing – Paint-Dominant,11.190366972477063,0.4933084532387644,0.4024230563526018,0.44724770642201833,0.5642201834862385,0.20393291141134404,12.11111111111111,436,36,0.6238532110091743,0.0481651376146789,0.32798165137614677,0.13761467889908258,9.726513065674963,20.25,1.4754076490841597,0.26605504587155965,0.09174311926605505,0.07110091743119266,0.1720183486238532
Deandre Ayton,1629028,Big,Big-0,1.0,Big – Paint-Dominant (Low Usage),4.914004914004914,0.5828166985118944,0.2686532932460117,0.6756756756756757,0.29975429975429974,0.1687085542548165,9.044444444444444,407,45,0.9385749385749386,0.06142506142506143,0.0,0.0,4.65245053602116,7.0,1.1230373469320711,0.32678132678132676,0.20393120393120392,0.16953316953316952,0.12039312039312039
Luka Dončić,1629029,Wing,Wing-0,0.9999999802704618,Wing – Shot Creator (Mixed),17.317443120260023,0.41075124277948377,0.5209245558149119,0.4734561213434453,0.8775731310942578,0.3664869758505909,21.976190476190474,923,42,0.3640303358613218,0.16793066088840736,0.46803900325027087,0.027085590465872153,9.604996280168102,17.0,1.5412367642210194,0.11375947995666305,0.0032502708559046588,0.0010834236186348862,0.18418201516793067
Rui Hachimura,1629060,Wing,Wing-0,0.9999999939613888,Wing – Shot Creator (Mixed),15.754098360655737,0.45248221113049925,0.4795298210502013,0.505464480874317,0.7595628415300546,0.14922303698624387,9.15,366,40,0.34426229508196726,0.21311475409836064,0.4426229508196721,0.1994535519125683,9.268279805588644,17.0,1.5485945681413187,0.17486338797814208,0.05737704918032787,0.00819672131147541,0.01092896174863388
