player_name,team,salary,salary_millions
D'Angelo Russell,DAL,5685000,5.685
Tari Eason,HOU,5675766,5.675766
Haywood Highsmith,BRK,5616000,5.616
Nicolas Batum,LAC,5601600,5.6016
Jett Howard,ORL,5529720,5.52972
Guerschon Yabusele,NYK,5500000,5.5
Matas Buzelis,CHI,5455560,5.45556
Noa Essengue,CHI,5429520,5.42952
Kris Dunn,LAC,5426400,5.4264
Dario Å ariÄ,CHI,5426400,5.4264
Dalen Terry,CHI,5399118,5.399118
Bradley Beal,LAC,59020270,59.02027
Paul Reed,DET,5335894,5.335894
Dereck Lively,DAL,5253360,5.25336
Nikola TopiÄ,OKC,5182920,5.18292
Derik Queen,NOP,5157960,5.15796
Kevin Porter,MIL,5134000,5.134
Marcus Smart,LAL,26720855,26.720855
Andre Drummond,PHI,5000000,5.0
Moritz Wagner,ORL,5000000,5.0
Nick Richards,PHO,5000000,5.0
Gradey Dick,TOR,4990560,4.99056
Malaki Branham,WAS,4962033,4.962033
Devin Carter,SAC,4923720,4.92372
Christian Braun,DEN,4921797,4.921797
Carter Bryant,SAS,4900320,4.90032
Walker Kessler,UTA,4878938,4.878938
Jordan Hawkins,NOP,4741320,4.74132
Blake Wesley,WAS,7022602,7.022602
Bub Carrington,WAS,4677600,4.6776
Thomas Sorber,OKC,4655040,4.65504
Kobe Bufkin,BRK,4503720,4.50372
Jose Alvarado,NOP,4500000,4.5
Nikola JoviÄ,MIA,4445417,4.445417
Kel'el Ware,MIA,4443360,4.44336
Yang Hansen,POR,4422360,4.42236
Peyton Watson,DEN,4356476,4.356476
Miles McBride,NYK,4333333,4.333333
Keyonte George,UTA,4278960,4.27896
Jared McCain,PHI,4221360,4.22136
Joan Beringer,MIN,4201080,4.20108
Kevin Love,UTA,4150000,4.15
Dalton Knecht,LAL,4010160,4.01016
Ryan Rollins,MIL,4000000,4.0
Dwight Powell,DAL,4000000,4.0
Walter Clayton,UTA,3991320,3.99132
Jaime Jaquez,MIA,3861600,3.8616
Nolan TraorÃ©,BRK,3811560,3.81156
Tristan Da Silva,ORL,3809520,3.80952
Gary Trent,MIL,3697105,3.697105
Brandin Podziemski,GSW,3687960,3.68796
Svi Mykhailiuk,UTA,3675000,3.675
Kasparas JakuÄionis,MIA,3658800,3.6588
Ja'Kobe Walter,TOR,3638160,3.63816
Gary Harris,MIL,3634153,3.634153
Cam Whitmore,WAS,3539760,3.53976
Will Riley,WAS,3512520,3.51252
Jaylon Tyson,CLE,3492480,3.49248
Jaxson Hayes,LAL,3449323,3.449323
Noah Clowney,BRK,3398640,3.39864
Drake Powell,BRK,3372240,3.37224
Yves Missi,NOP,3353040,3.35304
Taurean Prince,MIL,3303774,3.303774
Dariq Whitehead,BRK,3262560,3.26256
Asa Newell,ATL,3237480,3.23748
DaRon Holmes,DEN,3218760,3.21876
Kris Murray,POR,3132000,3.132
Nique Clifford,SAC,3108120,3.10812
Nassir Little,PHO,3107143,3.107143
AJ Johnson,WAS,3090480,3.09048
De'Anthony Melton,GSW,3080921,3.080921
Shake Milton,LAL,3000000,3.0
Kyle Filipowski,UTA,3000000,3.0
Ajay Mitchell,OKC,3000000,3.0
Julian Champagnie,SAS,3000000,3.0
Jase Richardson,ORL,2983320,2.98332
Kyshawn George,WAS,2966760,2.96676
Tony Bradley,IND,2940876,2.940876
Marcus Sasser,DET,2886720,2.88672
Ben Saraf,BRK,2884560,2.88456
Pacome Dadiet,NYK,2847600,2.8476
Danny Wolf,BRK,2801280,2.80128
Ben Sheppard,IND,2790720,2.79072
Hugo GonzÃ¡lez,BOS,2783880,2.78388
Liam McNeeley,CHO,2763960,2.76396
Dillon Jones,WAS,2753280,2.75328
Yanic Konan NiederhÃ¤user,LAC,2743800,2.7438
Nick Smith,CHO,2710680,2.71068
Brice Sensabaugh,UTA,2693760,2.69376
Julian Strawther,DEN,2674200,2.6742
Terrence Shannon,MIN,2674080,2.67408
Ryan Dunn,PHO,2657760,2.65776
Kobe Brown,LAC,2654880,2.65488
Isaiah Collier,UTA,2638200,2.6382
Baylor Scheierman,BOS,2619000,2.619
Xavier Tillman,BOS,2546675,2.546675
Chuma Okeke,CLE,2546675,2.546675
Cam Spencer,MEM,2537989,2.537989
Luka Garza,BOS,2461463,2.461463
Sandro Mamukelashvili,TOR,2461463,2.461463
Trendon Watford,PHI,2461463,2.461463
Jericho Sims,MIL,2461463,2.461463
Dru Smith,MIA,2378870,2.37887
Josh Minott,BOS,2378870,2.37887
Justin Champagnie,WAS,2349578,2.349578
Jordan Goodwin,PHO,2349578,2.349578
Jay Huff,IND,2349578,2.349578
Keon Johnson,BRK,2349578,2.349578
Vit Krejci,POR,2349578,2.349578
Neemias Queta,BOS,2349578,2.349578
A.J. Green,MIL,2301587,2.301587
